Date_reported,Country_code,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2021-01-01,GT,Guatemala,846,138012,10,4813
2021-01-02,GT,Guatemala,224,138236,7,4820
2021-01-03,GT,Guatemala,80,138316,7,4827
2021-01-04,GT,Guatemala,159,138475,6,4833
2021-01-05,GT,Guatemala,181,138656,2,4835
2021-01-06,GT,Guatemala,763,139419,24,4859
2021-01-07,GT,Guatemala,783,140202,40,4899
2021-01-08,GT,Guatemala,872,141074,29,4928
2021-01-09,GT,Guatemala,990,142064,44,4972
2021-01-10,GT,Guatemala,1063,143127,27,4999
2021-01-11,GT,Guatemala,116,143243,26,5025
2021-01-12,GT,Guatemala,733,143976,0,5025
2021-01-13,GT,Guatemala,1028,145004,92,5117
2021-01-14,GT,Guatemala,982,145986,0,5117
2021-01-15,GT,Guatemala,951,146937,34,5151
2021-01-16,GT,Guatemala,623,147560,26,5177
2021-01-17,GT,Guatemala,1038,148598,43,5220
2021-01-18,GT,Guatemala,290,148888,34,5254
2021-01-19,GT,Guatemala,258,149146,24,5278
2021-01-20,GT,Guatemala,1131,150277,35,5313
2021-01-21,GT,Guatemala,1047,151324,30,5343
2021-01-22,GT,Guatemala,1071,152395,46,5389
2021-01-23,GT,Guatemala,561,152956,31,5420
2021-01-24,GT,Guatemala,934,153890,36,5456
2021-01-25,GT,Guatemala,322,154212,9,5465
2021-01-26,GT,Guatemala,218,154430,4,5469
2021-01-27,GT,Guatemala,1029,155459,17,5486
2021-01-28,GT,Guatemala,1038,156497,27,5513
2021-01-29,GT,Guatemala,1098,157595,30,5543
2021-01-30,GT,Guatemala,741,158336,39,5582
2021-01-31,GT,Guatemala,782,159118,36,5618
2021-02-01,GT,Guatemala,386,159504,25,5643
2021-02-02,GT,Guatemala,128,159632,30,5673
2021-02-03,GT,Guatemala,667,160299,36,5709
2021-02-04,GT,Guatemala,667,160966,27,5736
2021-02-05,GT,Guatemala,699,161665,49,5785
2021-02-06,GT,Guatemala,630,162295,31,5816
2021-02-07,GT,Guatemala,642,162937,38,5854
2021-02-08,GT,Guatemala,200,163137,30,5884
2021-02-09,GT,Guatemala,110,163247,38,5922
2021-02-10,GT,Guatemala,746,163993,33,5955
2021-02-11,GT,Guatemala,753,164746,34,5989
2021-02-12,GT,Guatemala,786,165532,34,6023
2021-02-13,GT,Guatemala,751,166283,34,6057
2021-02-14,GT,Guatemala,788,167071,37,6094
2021-02-15,GT,Guatemala,208,167279,30,6124
2021-02-16,GT,Guatemala,104,167383,26,6150
2021-02-17,GT,Guatemala,720,168103,8,6158
2021-02-18,GT,Guatemala,777,168880,6,6164
2021-02-19,GT,Guatemala,730,169610,22,6186
2021-02-20,GT,Guatemala,665,170275,34,6220
2021-02-21,GT,Guatemala,656,170931,29,6249
2021-02-22,GT,Guatemala,239,171170,33,6282
2021-02-23,GT,Guatemala,119,171289,24,6306
2021-02-24,GT,Guatemala,783,172072,9,6315
2021-02-25,GT,Guatemala,692,172764,12,6327
2021-02-26,GT,Guatemala,378,173142,7,6334
2021-02-27,GT,Guatemala,672,173814,14,6348
2021-02-28,GT,Guatemala,521,174335,26,6374
2021-03-01,GT,Guatemala,207,174542,19,6393
2021-03-02,GT,Guatemala,111,174653,9,6402
2021-03-03,GT,Guatemala,0,174653,0,6402
2021-03-04,GT,Guatemala,758,175411,10,6412
2021-03-05,GT,Guatemala,839,176250,15,6427
2021-03-06,GT,Guatemala,626,176876,8,6435
2021-03-07,GT,Guatemala,1461,178337,32,6467
2021-03-08,GT,Guatemala,223,178560,6,6473
2021-03-09,GT,Guatemala,210,178770,6,6479
2021-03-10,GT,Guatemala,793,179563,14,6493
2021-03-11,GT,Guatemala,830,180393,29,6522
2021-03-12,GT,Guatemala,750,181143,9,6531
2021-03-13,GT,Guatemala,831,181974,15,6546
2021-03-14,GT,Guatemala,705,182679,17,6563
2021-03-15,GT,Guatemala,202,182881,5,6568
2021-03-16,GT,Guatemala,133,183014,7,6575
2021-03-17,GT,Guatemala,971,183985,24,6599
2021-03-18,GT,Guatemala,6,183991,20,6619
2021-03-19,GT,Guatemala,943,184934,0,6619
2021-03-20,GT,Guatemala,1806,186740,44,6663
2021-03-21,GT,Guatemala,919,187659,22,6685
2021-03-22,GT,Guatemala,252,187911,15,6700
2021-03-23,GT,Guatemala,208,188119,10,6710
2021-03-24,GT,Guatemala,948,189067,20,6730
2021-03-25,GT,Guatemala,1141,190208,19,6749
2021-03-26,GT,Guatemala,999,191207,16,6765
2021-03-27,GT,Guatemala,926,192133,10,6775
2021-03-28,GT,Guatemala,917,193050,19,6794
2021-03-29,GT,Guatemala,327,193377,8,6802
2021-03-30,GT,Guatemala,179,193556,7,6809
2021-03-31,GT,Guatemala,278,193834,14,6823
2021-04-01,GT,Guatemala,564,194398,17,6840
2021-04-02,GT,Guatemala,358,194756,20,6860
2021-04-03,GT,Guatemala,280,195036,15,6875
2021-04-04,GT,Guatemala,203,195239,9,6884
2021-04-05,GT,Guatemala,232,195471,7,6891
2021-04-06,GT,Guatemala,209,195680,3,6894
2021-04-07,GT,Guatemala,1340,197020,9,6903
2021-04-08,GT,Guatemala,1354,198374,25,6928
2021-04-09,GT,Guatemala,1590,199964,27,6955
2021-04-10,GT,Guatemala,1331,201295,22,6977
2021-04-11,GT,Guatemala,1345,202640,24,7001
2021-04-12,GT,Guatemala,431,203071,15,7016
2021-04-13,GT,Guatemala,238,203309,4,7020
2021-04-14,GT,Guatemala,2013,205322,37,7057
2021-04-15,GT,Guatemala,1805,207127,32,7089
2021-04-16,GT,Guatemala,1567,208694,31,7120
2021-04-17,GT,Guatemala,1973,210667,40,7160
2021-04-18,GT,Guatemala,1640,212307,30,7190
2021-04-19,GT,Guatemala,427,212734,31,7221
2021-04-20,GT,Guatemala,315,213049,20,7241
2021-04-21,GT,Guatemala,1651,214700,38,7279
2021-04-22,GT,Guatemala,1629,216329,30,7309
2021-04-23,GT,Guatemala,1816,218145,36,7345
2021-04-24,GT,Guatemala,1644,219789,29,7374
2021-04-25,GT,Guatemala,1518,221307,21,7395
2021-04-26,GT,Guatemala,391,221698,15,7410
2021-04-27,GT,Guatemala,241,221939,18,7428
2021-04-28,GT,Guatemala,1086,223025,25,7453
2021-04-29,GT,Guatemala,1596,224621,25,7478
2021-04-30,GT,Guatemala,1626,226247,22,7500
2021-05-01,GT,Guatemala,1424,227671,24,7524
2021-05-02,GT,Guatemala,806,228477,19,7543
2021-05-03,GT,Guatemala,207,228684,15,7558
2021-05-04,GT,Guatemala,187,228871,20,7578
2021-05-05,GT,Guatemala,1224,230095,28,7606
2021-05-06,GT,Guatemala,1194,231289,36,7642
2021-05-07,GT,Guatemala,1150,232439,35,7677
2021-05-08,GT,Guatemala,1257,233696,18,7695
2021-05-09,GT,Guatemala,1187,234883,22,7717
2021-05-10,GT,Guatemala,206,235089,16,7733
2021-05-11,GT,Guatemala,215,235304,3,7736
2021-05-12,GT,Guatemala,962,236266,40,7776
2021-05-13,GT,Guatemala,1416,237682,39,7815
2021-05-14,GT,Guatemala,1105,238787,17,7832
2021-05-15,GT,Guatemala,1383,240170,13,7845
2021-05-16,GT,Guatemala,947,241117,27,7872
2021-05-17,GT,Guatemala,252,241369,15,7887
2021-05-18,GT,Guatemala,159,241528,6,7893
2021-05-19,GT,Guatemala,1256,242784,20,7913
2021-05-20,GT,Guatemala,1049,243833,15,7928
