code_municipality,date_reported,new_deaths
101,2021-01-01,3
511,2021-01-01,0
407,2021-01-01,0
113,2021-01-01,0
501,2021-01-01,0
801,2021-01-01,0
1901,2021-01-01,0
108,2021-01-01,0
2001,2021-01-01,0
1701,2021-01-01,0
901,2021-01-01,0
1001,2021-01-01,0
114,2021-01-01,0
304,2021-01-01,0
913,2021-01-01,0
106,2021-01-01,0
1013,2021-01-01,0
1101,2021-01-01,0
505,2021-01-01,0
105,2021-01-01,0
1403,2021-01-01,0
1406,2021-01-01,0
1304,2021-01-01,0
401,2021-01-01,1
514,2021-01-01,0
701,2021-01-01,1
2201,2021-01-01,0
112,2021-01-01,0
2206,2021-01-01,0
920,2021-01-01,1
1708,2021-01-01,0
2214,2021-01-01,0
1802,2021-01-01,0
1302,2021-01-01,0
303,2021-01-01,0
2107,2021-01-01,0
302,2021-01-01,0
411,2021-01-01,0
414,2021-01-01,0
1419,2021-01-01,0
314,2021-01-01,0
916,2021-01-01,0
415,2021-01-01,0
504,2021-01-01,0
903,2021-01-01,0
1804,2021-01-01,0
914,2021-01-01,0
1008,2021-01-01,0
1014,2021-01-01,0
2101,2021-01-01,0
1107,2021-01-01,0
1321,2021-01-01,0
1420,2021-01-01,0
917,2021-01-01,0
2217,2021-01-01,0
506,2021-01-01,0
1327,2021-01-01,0
2009,2021-01-01,1
710,2021-01-01,0
1002,2021-01-01,0
1301,2021-01-01,0
902,2021-01-01,0
1910,2021-01-01,0
1905,2021-01-01,0
1305,2021-01-01,0
1710,2021-01-01,0
1904,2021-01-01,0
412,2021-01-01,0
1319,2021-01-01,0
1906,2021-01-01,0
921,2021-01-01,0
409,2021-01-01,0
906,2021-01-01,0
2007,2021-01-01,0
508,2021-01-01,0
1416,2021-01-01,0
805,2021-01-01,0
2004,2021-01-01,0
1712,2021-01-01,0
1018,2021-01-01,0
1902,2021-01-01,0
408,2021-01-01,0
2207,2021-01-01,0
2011,2021-01-01,0
2211,2021-01-01,0
1418,2021-01-01,0
705,2021-01-01,0
1402,2021-01-01,0
1413,2021-01-01,0
905,2021-01-01,0
907,2021-01-01,0
1326,2021-01-01,0
1410,2021-01-01,0
2212,2021-01-01,0
1907,2021-01-01,0
2208,2021-01-01,0
915,2021-01-01,0
1307,2021-01-01,0
510,2021-01-01,0
2006,2021-01-01,0
1412,2021-01-01,0
