name_country,code_country,date_reported,new_cases,cumulative_cases,new_deaths,cumulative_deaths
Guatemala,GT,2021-01-01,846,138012,10,4813
Guatemala,GT,2021-01-02,224,138236,7,4820
Guatemala,GT,2021-01-03,80,138316,7,4827
Guatemala,GT,2021-01-04,159,138475,6,4833
Guatemala,GT,2021-01-05,181,138656,2,4835
Guatemala,GT,2021-01-06,763,139419,24,4859
Guatemala,GT,2021-01-07,783,140202,40,4899
Guatemala,GT,2021-01-08,872,141074,29,4928
Guatemala,GT,2021-01-09,990,142064,44,4972
Guatemala,GT,2021-01-10,1063,143127,27,4999
Guatemala,GT,2021-01-11,116,143243,26,5025
Guatemala,GT,2021-01-12,733,143976,0,5025
Guatemala,GT,2021-01-13,1028,145004,92,5117
Guatemala,GT,2021-01-14,982,145986,0,5117
Guatemala,GT,2021-01-15,951,146937,34,5151
Guatemala,GT,2021-01-16,623,147560,26,5177
Guatemala,GT,2021-01-17,1038,148598,43,5220
Guatemala,GT,2021-01-18,290,148888,34,5254
Guatemala,GT,2021-01-19,258,149146,24,5278
Guatemala,GT,2021-01-20,1131,150277,35,5313
Guatemala,GT,2021-01-21,1047,151324,30,5343
Guatemala,GT,2021-01-22,1071,152395,46,5389
Guatemala,GT,2021-01-23,561,152956,31,5420
Guatemala,GT,2021-01-24,934,153890,36,5456
Guatemala,GT,2021-01-25,322,154212,9,5465
Guatemala,GT,2021-01-26,218,154430,4,5469
Guatemala,GT,2021-01-27,1029,155459,17,5486
Guatemala,GT,2021-01-28,1038,156497,27,5513
Guatemala,GT,2021-01-29,1098,157595,30,5543
Guatemala,GT,2021-01-30,741,158336,39,5582
Guatemala,GT,2021-01-31,782,159118,36,5618
Guatemala,GT,2021-02-01,386,159504,25,5643
Guatemala,GT,2021-02-02,128,159632,30,5673
Guatemala,GT,2021-02-03,667,160299,36,5709
Guatemala,GT,2021-02-04,667,160966,27,5736
Guatemala,GT,2021-02-05,699,161665,49,5785
Guatemala,GT,2021-02-06,630,162295,31,5816
Guatemala,GT,2021-02-07,642,162937,38,5854
Guatemala,GT,2021-02-08,200,163137,30,5884
Guatemala,GT,2021-02-09,110,163247,38,5922
Guatemala,GT,2021-02-10,746,163993,33,5955
Guatemala,GT,2021-02-11,753,164746,34,5989
Guatemala,GT,2021-02-12,786,165532,34,6023
Guatemala,GT,2021-02-13,751,166283,34,6057
Guatemala,GT,2021-02-14,788,167071,37,6094
Guatemala,GT,2021-02-15,208,167279,30,6124
Guatemala,GT,2021-02-16,104,167383,26,6150
Guatemala,GT,2021-02-17,720,168103,8,6158
Guatemala,GT,2021-02-18,777,168880,6,6164
Guatemala,GT,2021-02-19,730,169610,22,6186
Guatemala,GT,2021-02-20,665,170275,34,6220
Guatemala,GT,2021-02-21,656,170931,29,6249
Guatemala,GT,2021-02-22,239,171170,33,6282
Guatemala,GT,2021-02-23,119,171289,24,6306
Guatemala,GT,2021-02-24,783,172072,9,6315
Guatemala,GT,2021-02-25,692,172764,12,6327
Guatemala,GT,2021-02-26,378,173142,7,6334
Guatemala,GT,2021-02-27,672,173814,14,6348
Guatemala,GT,2021-02-28,521,174335,26,6374
Guatemala,GT,2021-03-01,207,174542,19,6393
Guatemala,GT,2021-03-02,111,174653,9,6402
Guatemala,GT,2021-03-03,0,174653,0,6402
Guatemala,GT,2021-03-04,758,175411,10,6412
Guatemala,GT,2021-03-05,839,176250,15,6427
Guatemala,GT,2021-03-06,626,176876,8,6435
