code_municipality,municipality,code_department,population
101,GUATEMALA,1,1205668
511,PALIN,5,70118
407,PATZUN,4,69560
113,FRAIJANES,1,61664
501,ESCUINTLA,5,166078
801,TOTONICAPAN,8,117483
1901,ZACAPA,19,65730
108,MIXCO,1,494561
2001,CHIQUIMULA,20,117014
1701,FLORES,17,43067
901,QUETZALTENANGO,9,196867
1001,MAZATENANGO,10,83448
114,AMATITLAN,1,147604
304,SUMPANGO,3,45249
913,ALMOLONGA,9,16679
106,CHINAUTLA,1,121721
1013,CHICACAO,10,67994
1101,RETALHULEU,11,108405
505,MASAGUA,5,47441
105,PALENCIA,1,73811
1403,CHINIQUE,14,13294
1406,CHICHICASTENANGO,14,148943
1304,CUILCO,13,65178
401,CHIMALTENANGO,4,112778
514,SIPACATE,5,17465
701,SOLOLA,7,98886
2201,JUTIAPA,22,163665
112,CHUARRANCHO,1,17957
2206,YUPILTEPEQUE,22,17833
920,COATEPEQUE,9,117579
1708,DOLORES,17,29659
2214,MOYUTA,22,50348
1802,LIVINGSTON,18,79360
1302,CHIANTLA,13,91954
303,PASTORES,3,19389
2107,MATAQUESCUINTLA,21,45870
302,JOCOTENANGO,3,23160
411,ACATENANGO,4,28043
414,PARRAMOS,4,19693
1419,CHICAMAN,14,42342
314,ALOTENANGO,3,27787
916,ZUNIL,9,15414
415,ZARAGOZA,4,28473
504,SIQUINALA,5,25677
903,OLINTEPEQUE,9,38219
1804,MORALES,18,106156
914,CANTEL,9,45229
1008,SAMAYAC,10,26350
1014,PATULUL,10,41984
2101,JALAPA,21,188522
1107,CHAMPERICO,11,38006
1321,TECTITAN,13,11635
1420,IXCAN,14,107265
917,COLOMBA,9,55290
2217,QUEZADA,22,23311
506,TIQUISATE,5,62895
1327,AGUACATAN,13,57977
2009,QUETZALTEPEQUE,20,29377
710,PANAJACHEL,7,15840
1002,CUYOTENANGO,10,37283
1301,HUEHUETENANGO,13,129232
902,SALCAJA,9,20851
1910,HUITE,19,11948
1905,TECULUTAN,19,20032
1305,NENTON,13,49299
1710,SAYAXCHE,17,97003
1904,GUALAN,19,49410
412,YEPOCAPA,4,41304
1319,COLOTENANGO,13,43622
1906,USUMATLAN,19,13071
921,GENOVA,9,45162
409,PATZICIA,4,39337
906,CABRICAN,9,27307
2007,ESQUIPULAS,20,55723
508,GUANAGAZAPA,5,17234
1416,SACAPULAS,14,54845
805,MOMOSTENANGO,8,136909
2004,JOCOTAN,20,73093
1712,POPTUN,17,66883
1018,ZUNILITO,10,8724
1902,ESTANZUELA,19,10859
408,POCHUTA,4,10996
2207,ATESCATEMPA,22,19514
2011,IPALA,20,23435
2211,COMAPA,22,36047
1418,CANILLA,14,12577
705,NAHUALA,7,91523
1402,CHICHE,14,32038
1413,NEBAJ,14,75979
905,SIBILIA,9,8766
907,CAJOLA,9,18896
1326,BARILLAS,13,122466
1410,CUNEN,14,46350
2212,JALPATAGUA,22,30912
1907,CABAÑAS,19,14440
2208,JEREZ,22,6706
915,HUITAN,9,14522
1307,JACALTENANGO,13,42375
510,IZTAPA,5,19778
2006,OLOPA,20,29283
1412,JOYABAJ,14,104861
1303,MALACATANCITO,13,21855
2106,MONJAS,21,28097
2213,CONGUACO,22,29121
1404,ZACUALPA,14,39269
2005,CAMOTAN,20,60848
1333,PETATAN,13,6861
2215,PASACO,22,11057
1405,CHAJUL,14,50814
1421,PACHALUN,14,9652
1407,PATZITE,14,7462
2210,ZAPOTITLAN,22,10340
